dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237668271916187794,243.5329,10.73296,0.01105357,17.8825454711914,15.085,135.2082,14.509,110.8033,14.158,110.8033,16.68823,15.81911,15.43706,15.27087,15.11521,6375700873044036549,15.54216,5.471737
1237665129077342225,175.2043,35.20271,0.005134734,16.0963268280029,14.503,0.0,14.369,129.1322,14.21,113.1734,15.50918,14.74293,14.43606,14.33645,14.21155,6374645385904784890,14.40753,17.2501
1237671126979379364,178.7704,1.719791,0.004336047,16.570732593536402,15.831,26.5703,14.249,0.0,13.903,0.0,16.07313,15.21471,14.91395,14.78081,14.65443,2426844401355457947,14.92278,12.1737
1237661976547491868,185.6804,8.198277,0.00401303,18.4619007110596,13.073,104.1233,12.34,96.11687,12.088,132.1179,15.4039,13.74325,13.02114,12.644,12.35472,3084616237556183248,13.05855,15.86235
1237658628620877841,185.3243,11.51045,0.001119565,14.301731586456299,15.062,50.29928,14.746,24.5074,13.147,0.0,13.25711,12.36148,11.96459,11.86395,11.63751,3190380460053108673,11.94581,62.46154
1237665097388261473,139.272,25.42916,0.005511173,16.44447231292725,13.769,0.0,13.175,0.0,13.787,69.44444,14.95703,13.74505,13.23862,12.97976,12.84576,3799070097391230169,13.20114,29.25322
1237665128020377629,220.405,29.26968,0.01263431,17.9138793945313,16.451,40.05768,15.605,44.44444,14.546,0.0,16.52233,15.96355,15.6121,15.55346,15.42253,6379254493551264789,15.83005,12.46728
1237662194531434689,200.0887,41.47611,0.009450888,17.0288257598877,16.061,57.3921,15.493,33.41241,14.313,0.0,16.28917,15.13959,14.66656,14.40725,14.2475,6374715700961869825,14.68165,19.61434
1237658311868678242,191.0723,59.7188,0.009791062,19.457576751709,16.338,87.34387,15.205,0.0,14.889,0.0,18.11564,17.14039,16.71017,16.54331,16.35185,6374434235648836870,16.6087,8.321692
1237661850938834974,204.8998,43.05278,0.01178774,17.014892578125,13.88,148.721,13.501,70.61648,12.958,135.2082,16.06505,14.97594,14.42126,14.2001,13.91722,6374750884260219473,14.40552,9.572763
