,objID,ra,dec,type,petromag_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,redShift,redshiftUncertainty,redShiftWarning,redShiftWarningText,petror90_r
4841,1237665549435863188,236.74535,17.884185,3,12.83418,14.58608,13.83101,13.31398,13.21886,12.99424,0.01097685,7.63192e-06,0,OK,29.4585
4842,1237665549435863679,236.80358,17.957563,3,17.41142,18.72268,17.67655,17.39277,17.32964,17.33934,0.01109554,1.181159e-05,0,OK,11.96839
4843,1237665549971226649,233.44923,19.517999,3,16.423,17.99944,16.70384,16.40383,16.27218,16.3211,0.006670924,1.65863e-05,0,OK,16.7401
4844,1237665549973913977,239.63476,17.441471,3,13.01106,14.8114,13.50024,12.94975,12.6607,12.4926,0.007261412,8.923609e-06,0,OK,32.6748
4845,1237665550499119175,212.3671,25.790097,3,17.64216,18.77266,17.87188,17.46104,17.27055,17.09067,0.01045833,5.468566e-06,0,OK,8.151096
4846,1237665550503706936,223.48718,23.099919,3,17.78826,19.83007,18.55933,17.76527,17.33889,17.05807,0.01075857,6.256666,0,OK,5.565579
4847,1237665564994502793,209.73051,21.988498,3,15.14389,16.60483,15.53614,15.08906,14.85488,14.75624,0.009502061,9.761754e-06,0,OK,25.09659
4848,1237665564996599842,214.71303,21.044373,3,17.71485,18.27953,17.53317,17.64945,18.38908,18.34662,0.008546544,4.150561e-06,0,OK,3.19945
4849,1237665564996600183,214.72878,21.004798,3,17.56253,18.72126,17.72825,17.48948,17.37301,17.31011,0.00864622,2.048781e-05,0,OK,8.926144
4850,1237665565008199988,241.40497,13.492116,3,17.84422,18.93464,18.1727,17.8719,17.73705,17.67443,0.01250412,5.348079e-06,0,OK,5.627552
4851,1237665565532160017,211.66891,22.070105,3,15.05734,16.88126,15.82001,15.25125,14.99764,14.80825,0.007739129,5.962731e-06,0,OK,48.67507
4852,1237665565541597383,233.7926,16.549575,3,14.53805,16.06208,15.05367,14.54163,14.38295,14.56351,0.003440204,4.818469e-06,0,OK,31.35815
4853,1237665565541728490,234.13292,16.440373,3,14.63179,16.46301,15.1124,14.54061,14.27255,14.16756,0.006322502,2.506549e-05,0,OK,25.47267
4854,1237665565542514695,235.77533,15.770491,3,14.34128,16.88335,15.13053,14.36604,13.95942,13.57349,0.01221823,7.581115e-06,0,OK,9.545846
4855,1237665565546119292,243.82094,13.025855,3,17.52325,17.91892,17.39114,17.43187,17.75869,17.65279,0.0121744,4.79449e-06,0,OK,3.263871
4856,1237665566067982471,209.26647,22.93882,3,17.88752,18.70269,17.98975,17.81371,17.90217,18.00422,0.01226754,5.995163e-06,0,OK,6.08279
4857,1237665566068113454,209.60245,22.926735,3,15.01606,16.23684,15.4364,15.04756,14.8487,14.67265,0.009363781,3.703485e-06,0,OK,11.66956
4858,1237665566068113459,209.596,22.887943,3,14.4062,15.47838,14.68434,14.2511,14.05539,13.8265,0.009296022,6.819752e-06,0,OK,17.40743
4859,1237665566068179166,209.75413,22.814962,3,16.94585,17.93247,17.23249,16.96811,16.89511,16.88094,0.009551551,5.215363e-06,0,OK,9.573258
4860,1237665566068375584,210.20442,22.763647,3,17.70759,19.00818,18.19486,17.83718,17.67861,17.54023,0.01023821,5.778919e-06,0,OK,7.329576
4861,1237665566068506761,210.57453,22.726515,3,17.26224,18.2648,17.48788,17.29963,17.45062,17.08498,0.01033237,5.409084e-06,0,OK,11.34502
4862,1237665566071259349,217.17244,21.340055,3,21.90099,22.45234,21.95487,21.74357,22.41273,21.42166,0.003819174,3.091756e-05,0,OK,1.267017
4863,1237665566078402826,233.78673,16.871037,3,15.76272,17.249,16.2617,15.74941,15.61697,15.59758,0.006641496,7.46778e-06,0,OK,17.59422
4864,1237665566079516953,236.29076,16.250403,3,16.86979,18.16714,17.39243,17.00596,16.87184,16.68711,0.009446594,6.272908e-06,0,OK,9.519642
4865,1237665566614815949,232.96503,17.752154,3,21.04387,23.43094,22.11345,20.78931,19.88148,19.05864,0.006881928,0.000123998,0,OK,3.572978
4866,1237665566616584542,236.91386,16.282857,3,16.65963,17.59875,16.54013,16.24771,16.08312,15.8708,0.007013017,4.569645e-06,0,OK,17.61805
4867,1237665567678660830,209.68762,24.151396,3,16.3943,17.96306,16.91439,16.49922,16.28379,16.11471,0.003237628,6.799288e-06,0,OK,9.894346
4868,1237665567688425676,232.87208,18.554315,3,17.65729,19.09654,18.1186,17.72255,17.54238,17.35081,0.006837791,6.289762e-06,0,OK,7.067554
4869,1237665567690981496,238.66001,16.610459,3,16.5694,17.70101,16.98739,16.64759,16.57498,16.47779,0.007977082,3.4028e-06,0,OK,7.526882
4870,1237666186167124251,328.73425,6.3566547,3,16.03726,17.3744,16.36464,15.97166,15.7689,15.65141,0.0112201,1.086629e-05,0,OK,12.57651
4871,1237666209809760615,327.16586,-6.8365481,3,21.10762,21.60401,20.98336,20.91415,20.78216,21.37523,0.01016477,6.712866e-06,0,OK,1.008079
4872,1237666246300926189,352.76819,25.371441,3,17.96101,18.56037,17.95407,17.81027,18.17866,17.99104,0.01231321,5.544687e-06,0,OK,4.810806
4873,1237666276345643255,11.917576,25.71763,3,20.7458,22.38005,20.43555,20.57205,18.83008,17.93971,0.001100995,8.093743e-05,0,OK,5.010449
4874,1237666299479720081,45.454275,-0.88261,3,18.64049,19.17816,18.48403,18.41518,18.704,18.69207,0.007318183,3.789958e-06,0,OK,5.453361
4875,1237666299480244564,46.61592,-0.87979,3,21.37926,22.05282,21.42899,21.3572,21.95426,22.77475,0.01106482,5.884881e-06,0,OK,1.719237
4876,1237666299480441186,47.136972,-0.9939698,3,18.36777,19.64042,18.54321,18.30504,18.20565,18.17922,0.008746407,1.138827e-05,0,OK,6.531044
4877,1237666300016263794,44.64672,-0.45060616,3,22.06652,23.39171,23.09817,21.81371,21.14906,20.60754,0.004023095,2.373385,0,OK,2.377136
4878,1237666300016918568,46.144794,-0.47523169,3,16.48266,17.84448,16.89477,16.55134,16.41478,16.2711,0.005611976,4.423989e-06,0,OK,8.423719
4879,1237666300554576718,48.041974,-0.114103,3,18.98881,21.00438,19.44057,18.67386,18.39344,18.32998,0.003118751,8.130118e-06,0,OK,6.072832
4880,1237666300554772792,48.482168,-0.17636477,3,17.36872,19.08901,17.63462,17.34611,17.56133,17.182,0.00947129,2.569431e-05,0,OK,13.78233
4881,1237666300555559428,50.210392,-0.08984494,3,20.34622,22.11053,21.70137,20.3575,19.67313,19.32825,0.001026626,4.086864,0,OK,3.64664
4882,1237666301090136431,44.990139,0.26262999,3,19.12701,20.14885,19.42749,19.07376,19.00444,18.76993,0.005477409,6.870797e-06,0,OK,5.134479
4883,1237666301090267265,45.299589,0.30291753,3,17.18945,18.7734,17.75732,17.25715,17.01114,16.88225,0.009270805,7.659623e-06,0,OK,8.614866
4884,1237666301627793576,46.815145,0.73113707,3,17.50584,19.10307,17.94646,17.55749,17.38131,17.2453,0.01004623,4.138961e-06,0,OK,8.487578
4885,1237666302168793707,56.24094,1.1502442,3,18.73768,20.06566,19.2216,18.72767,18.61056,18.34032,0.002482248,3.477466e-05,0,OK,9.751445
4886,1237666338115879005,18.032314,-1.0006862,3,16.22142,17.81412,16.73346,16.27264,16.07921,15.92374,0.01243061,5.848166e-06,0,OK,7.532001
4887,1237666338115879006,18.031155,-0.998785,3,19.0729,19.76979,19.17814,18.99848,19.19868,20.47491,0.01256453,4.136872e-06,0,OK,11.45859
4888,1237666338116206710,18.893335,-0.86278733,3,17.26439,17.04464,16.91172,16.80316,17.29809,17.38437,0.005585466,6.871437e-06,0,OK,4.643032
4889,1237666338116206712,18.876844,-0.86094635,3,12.64968,14.65766,13.34723,12.82945,12.60463,12.55093,0.005860302,1.142514e-05,0,OK,56.75454
4890,1237666338116206724,18.869257,-0.847886,3,24.80193,19.19237,25.11438,24.80203,24.36182,19.37155,0.005930485,4.711155e-06,0,OK,4.297147
4891,1237666338116337885,19.0872,-0.91137,3,17.14429,18.12214,17.42687,17.19439,17.19177,17.24003,0.005575967,7.340181e-06,0,OK,12.38131
4892,1237666338116403783,19.336037,-0.948049,3,18.4587,19.4064,18.67658,18.33743,18.14494,18.0822,0.006286229,2.097922e-05,0,OK,8.750937
4893,1237666339189358909,17.51515,-0.0101,3,19.99192,20.71844,19.80778,19.97815,19.90048,19.52573,0.003789232,9.834789e-06,0,OK,5.752339
4894,1237666339190472839,20.028474,-0.20536986,3,15.00608,16.5217,15.34945,14.93721,14.73945,14.90466,0.005809776,2.912679e-05,0,OK,24.92461
4895,1237666339726426241,17.904002,0.27268917,3,18.12144,19.30406,18.49899,18.20342,18.08564,18.00492,0.006274696,5.062011e-06,0,OK,5.618107
4896,1237666339727540588,20.503104,0.26989209,3,16.49874,17.86548,16.77126,16.40184,16.26349,16.14217,0.01268083,6.2287e-06,0,OK,13.15254
4897,1237666340798136329,13.220004,1.2140812,3,15.11547,16.48193,15.50489,14.98855,14.82753,14.74635,0.005918295,1.080449e-05,0,OK,19.64214
4898,1237666340799709400,16.94352,1.063676,3,14.74683,16.04393,15.0805,14.80466,14.70175,14.75471,0.002152279,5.686674e-06,0,OK,28.67902
4899,1237666340799709401,16.94397,1.06446,3,20.07596,19.98178,19.9182,19.93085,20.2378,20.37728,0.002121175,5.008044e-06,0,OK,1.287007
4900,1237666340799709405,16.945598,1.0672922,3,21.34935,24.88733,22.10747,21.23737,21.04495,20.47458,0.002176249,2.965027e-05,0,OK,1.392053
4901,1237666340801347641,20.57638,1.098356,3,18.36427,19.73569,18.76135,18.3887,18.17586,18.01346,0.007710534,2.416186e-05,0,OK,4.958055
4902,1237666406847283275,35.309003,-0.88671181,3,16.61842,18.71999,17.29144,16.65592,16.3523,16.17436,0.004153254,-1.0,0,OK,11.75868
4903,1237666407362462047,345.7848,-0.53572839,3,18.05252,19.18939,18.29927,17.96409,17.74627,17.64594,0.008319803,1.267892e-05,0,OK,8.181292
4904,1237666407365411161,352.5201,-0.561143,3,17.67904,19.40658,18.17188,17.72278,17.52545,17.39437,0.008180108,8.396662e-06,0,OK,9.615931
4905,1237666407365739489,353.31061,-0.53913666,3,21.45767,22.10561,22.71717,21.38115,20.80403,20.81769,0.004036403,0.4951769,0,OK,3.037605
4906,1237666407379304827,24.283655,-0.56493387,3,16.69801,18.28177,17.06058,16.69069,16.52864,16.36616,0.009716033,1.547341e-05,0,OK,13.63084
4907,1237666407379566889,24.827565,-0.458416,3,18.18253,19.64324,18.5856,18.28035,18.1729,18.15739,0.01151452,1.060434e-05,0,OK,8.841721
4908,1237666407381401894,29.056853,-0.44597,3,18.56041,19.66139,18.88892,18.4781,18.33887,18.30219,0.01210501,1.255432e-05,0,OK,5.899463
4909,1237666407898808699,344.54493,-0.0079553117,3,21.40389,19.90481,22.61354,22.26451,22.03955,18.46053,0.01197134,3.387137e-05,0,OK,13.7061
4910,1237666407916830968,25.805677,-0.047452,3,18.53061,19.77228,18.70524,18.51662,18.37387,18.28024,0.01054868,6.180273e-06,0,OK,5.772534
4911,1237666407918272519,28.998978,-0.18556728,3,16.52776,17.88413,16.98179,16.6505,16.51989,16.39161,0.01213528,6.594777e-06,0,OK,6.859198
4912,1237666407918469338,29.539122,-0.110334,3,18.01693,18.64231,17.77671,17.87329,18.23551,17.88716,0.01207241,3.743826e-06,0,OK,5.830905
4913,1237666407922663512,39.17348,-0.018333,3,16.70236,18.14201,17.24798,17.08331,17.1222,17.24587,0.003793943,4.275226e-06,0,OK,26.43416
4914,1237666407922728971,39.176459,-0.017203,3,22.12968,24.25354,25.11437,21.98902,22.98188,22.82689,0.00370837,8.928398e-06,0,OK,1.054035
4915,1237666407922728972,39.177082,-0.01708,3,16.11274,17.6535,16.42807,16.09763,15.9344,16.31224,0.003700438,1.271823e-05,0,OK,19.56447
4916,1237666407923318891,40.667412,-0.011667,3,17.06913,16.87621,16.90744,16.9691,17.26947,18.41829,0.004194915,1.396095e-05,0,OK,1.25335
4917,1237666407923318894,40.6661,-0.01629,3,16.05025,17.10904,16.31789,15.9826,15.81484,15.62021,0.004207654,1.021596e-05,0,OK,1.595183
4918,1237666408439873551,354.13104,0.297275,3,12.1189,14.94211,13.01809,12.14577,11.74755,11.48866,0.008528431,5.514835e-06,0,OK,36.55523
4919,1237666408439873555,354.12824,0.294905,3,24.80193,18.74843,18.04435,24.80204,24.36181,22.82691,0.008897385,1.291253e-05,0,OK,4.296698
4920,1237666408439939273,354.35926,0.387757,3,18.12936,18.85377,18.49925,18.51085,19.05731,19.96579,0.009132812,4.496167e-06,0,OK,22.44426
4921,1237666408439939277,354.34963,0.39185317,3,15.24068,19.75358,15.75727,15.29795,14.92927,14.69744,0.008933557,4.373579e-05,0,OK,34.63805
4922,1237666408439939279,354.34025,0.391483,3,17.97582,18.01033,17.53717,17.46719,17.45742,18.38762,0.008849145,4.839612e-06,0,OK,14.1047
4923,1237666408439939302,354.35393,0.383371,3,22.40501,22.08846,22.24045,22.25925,21.89977,23.09469,0.009114287,6.968025e-06,0,OK,1.204391
4924,1237666408459468988,39.004034,0.42021007,3,14.47715,16.48352,15.14659,14.60783,14.28526,14.35453,0.00872279,2.145436e-05,0,OK,32.41821
4925,1237666408459469003,39.00842,0.415998,3,21.58331,21.21115,21.50565,21.44464,21.69477,21.81788,0.008783229,6.205268e-06,0,OK,1.0714
4926,1237666408994373824,34.533794,0.75835439,3,16.69887,18.10025,17.03206,16.67803,16.51361,16.39063,0.009191,8.024974e-06,0,OK,9.34647
4927,1237667107960127561,119.25428,14.396579,3,22.62178,19.62181,18.69425,22.78525,22.65373,18.53645,0.00119501,9.229931e-06,0,OK,5.213655
