dr12objid,RA,DEC,j,jIvar,h,hIvar,k,kIvar
1237668293374771290,173.4796,19.36002,14.118,434.0278,13.384,342.9355,13.063,566.8934
1237667783913701402,197.9043,22.91549,12.918,104.1233,12.294,85.73388,11.877,132.1179
1237667783913832536,198.1741,22.8298,15.98,25,15.376,15.87277,14.838,36.28974
1237668294982631441,166.6686,20.08556,12.828,129.1322,12.19,110.8033,11.879,244.1406
1237665369046253675,174.0105,32.38568,16.264,42.16563,15.54,31.91931,15.392,29.86055
1237668495242821647,170.7276,16.59003,12.429,92.45562,11.797,75.61436,11.353,104.1233
1237665129609887877,163.4101,34.03317,15.727,66.09822,14.088,0,14.718,48.90215
1237668296598749280,197.6144,18.43819,13.66,229.5684,12.615,222.7667,12.399,192.9013
1237668297132015642,189.034,19.32267,15.716,37.18025,14.917,23.33777,13.623,0
1237668297135554680,197.5035,18.92502,16.78,34.19855,15.072,0,15.746,35.85643
1237668495245115527,176.1696,16.89967,16.523,52.50998,15.086,0,15.119,0
1237668298203201559,182.7924,20.17567,13.513,67.18624,12.896,52.50998,12.475,123.4568
1237668298203267092,182.9906,20.02787,15.248,50.29928,14.771,33.80205,14.442,56.53231
1237668298206412939,190.6635,19.94531,16.089,42.16563,15.778,17.80341,14.026,0
1237667322722582561,191.3219,27.1256,13.64,148.721,12.863,152.4158,12.58,318.8775
1237665442592981008,203.8987,29.21744,15.607,61.03515,14.349,0,14.077,0
1237668495781920963,176.0976,17.31132,14.567,0,14.44,110.8033,13.365,0
1237667911143063737,217.007,21.29887,16.546,37.18025,15.238,0,14.692,0
1237667448337793087,178.2409,25.50823,16.371,48.22532,15.238,0,15.454,0
1237668496315711497,168.614,17.25999,14.228,0,13.433,0,14.008,84.16801
1237668496316039194,169.4918,17.44137,13.575,342.9355,13.026,192.9013,12.663,369.8225
1237667914341875793,173.6439,18.68238,16.508,34.60207,14.69,0,14.603,0
1237668330952392770,215.8708,14.28318,14.789,104.1233,14.405,56.53231,13.983,68.30135
